CAZyme ,Acidobacteriota,Actinobacteriota,Armatimonadota,Asgardarchaeota,Bacteroidota,Binatota,Chloroflexota,Dadabacteria,GCA-001730085,Gemmatimonadota,Euryarchaeota,Hydrogenedentota,Iainarchaeota,Krumholzibacteriota,KSB1,Latescibacterota,Marinisomatota,Methylomirabilota,Myxococcota,Nanoarchaeota,Nitrospinota,Nitrospirota,Omnitrophota,Patescibacteria,Planctomycetota,Poribacteria,Proteobacteria,SAR324,Sumerlaeota,TA06,Thaumarchaeota,UBP7,UBP7_A,Zixibacteria
GH113,0.63,0.00,0.00,1.00,0.56,0.00,0.01,0.86,0.00,0.18,0.00,0.00,0.00,1.00,0.79,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.37,0.00,0.01,0.00,1.00,0.00,0.00,0.00,0.00,0.00
GH114,0.05,0.07,0.00,1.00,0.11,0.00,0.35,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.00,0.14,0.00,0.00,0.00,0.06,0.00,0.00,0.04,0.08,0.00,0.02,0.14,0.00,0.00,0.00,0.00,0.00,0.00
GH127,0.00,0.00,0.50,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GH130,0.32,0.50,0.50,0.00,0.67,0.60,0.04,0.29,1.00,0.27,0.00,0.00,0.00,0.00,0.36,0.00,0.86,0.00,0.20,0.63,0.31,0.50,0.00,0.29,0.79,0.00,0.15,0.14,0.00,1.00,0.14,0.00,0.00,0.08
GH13,1.00,0.93,0.75,0.00,0.94,0.80,0.92,0.86,1.00,1.00,1.00,0.80,1.00,1.00,1.00,1.00,0.97,1.00,1.00,0.13,1.00,1.00,1.00,0.92,0.90,1.00,0.90,1.00,1.00,1.00,0.05,0.00,1.00,1.00
GH145,0.05,0.00,0.50,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GH15,0.42,0.29,0.00,0.00,0.03,0.60,0.69,0.57,0.00,0.05,1.00,0.00,0.00,0.00,0.29,0.00,0.00,1.00,0.20,0.25,0.38,0.83,1.00,0.67,0.13,0.00,0.15,0.86,1.00,1.00,0.09,0.00,0.00,0.08
GH161,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GH20,0.11,0.07,1.00,0.00,0.25,0.00,0.12,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.14,0.00,0.00,1.00,0.40,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.06,0.00,1.00,0.00,0.00,0.00,0.00,0.00
GH23,1.00,0.14,1.00,0.00,0.94,1.00,0.26,1.00,0.00,0.95,0.00,1.00,0.00,1.00,1.00,1.00,0.90,1.00,1.00,0.25,1.00,1.00,0.00,0.00,0.01,1.00,0.95,1.00,0.00,1.00,0.00,0.00,1.00,1.00
GH28,0.74,0.79,1.00,0.00,0.69,0.40,0.68,1.00,0.50,0.82,0.00,0.00,0.00,1.00,0.79,1.00,0.72,1.00,0.80,0.25,0.69,1.00,1.00,0.54,0.66,1.00,0.78,0.57,0.00,1.00,0.00,0.00,0.00,0.92
GH2,0.16,0.07,0.50,0.00,0.58,0.00,0.01,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.86,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,1.00,0.07,0.00,1.00,0.00,0.05,0.00,1.00,0.00
GH33,0.21,0.14,1.00,0.00,0.31,0.00,0.05,0.00,0.00,0.23,0.00,0.60,0.00,0.00,0.29,1.00,0.10,0.00,0.00,0.00,0.63,0.33,0.00,0.00,0.52,1.00,0.09,0.43,1.00,0.00,0.00,0.00,0.00,0.00
GH3,0.89,0.14,0.25,0.00,0.89,0.00,0.14,0.71,0.00,0.91,0.00,0.60,0.00,1.00,0.43,1.00,0.83,0.00,0.60,0.13,0.75,0.83,0.00,0.13,0.21,1.00,0.90,0.29,0.00,0.00,0.00,1.00,0.00,0.92
GH42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,1.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GH4,0.32,0.00,0.75,0.00,0.00,0.00,0.22,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.14,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.01,0.14,0.00,0.00,0.00,0.00,0.00,0.00
GH57,0.05,0.14,0.00,0.00,0.11,0.00,0.06,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.34,0.00,0.00,0.13,0.88,0.33,0.00,0.33,0.27,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.75
GH65,0.21,0.36,1.00,0.00,0.53,0.80,0.08,0.00,0.00,0.05,0.00,0.40,0.00,0.00,0.79,0.00,0.59,1.00,0.00,0.13,0.00,0.50,1.00,0.00,0.35,1.00,0.21,0.00,0.00,1.00,0.00,0.00,0.00,0.75
GH6,1.00,0.86,0.75,1.00,0.72,0.40,0.83,0.86,1.00,0.77,0.00,0.80,0.00,1.00,0.86,1.00,0.90,1.00,0.80,0.00,0.81,1.00,1.00,0.58,0.73,1.00,0.66,0.57,1.00,1.00,0.00,0.00,1.00,0.67
GH78,0.21,0.00,0.50,0.00,0.28,0.00,0.00,0.00,0.00,0.23,0.00,0.80,0.00,0.00,0.07,1.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.06,1.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GT0,0.05,0.43,0.00,0.00,0.61,0.20,0.08,0.00,0.00,0.45,1.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.60,0.50,0.13,0.00,0.00,0.00,0.04,0.00,0.16,0.43,0.00,1.00,0.68,0.00,0.00,0.00
GT13,0.68,0.64,1.00,0.00,0.78,0.40,0.57,0.71,0.00,0.82,0.00,0.00,0.00,0.00,0.64,0.00,0.79,1.00,0.00,0.00,0.81,0.50,1.00,0.75,0.35,1.00,0.69,0.86,0.00,1.00,0.00,1.00,0.00,0.67
GT19,0.89,0.00,1.00,0.00,0.58,1.00,0.00,0.00,1.00,0.82,0.00,0.60,0.00,0.00,0.29,0.00,0.93,1.00,0.50,0.00,1.00,0.67,0.00,0.00,0.79,1.00,0.79,0.86,1.00,1.00,0.00,0.00,1.00,0.92
