genome,MC02(8-10cmbsf),MC02(28-30cmbsf),D1T1(0-2cmbsf),D1T1(4-6cmbsf),D1T2(4-6cmbsf),D1T2(24-26cmbsf),T1B3R1(0-3cmbsf),T1B3R2(0-3cmbsf),T1B5(0-2cmbsf),T1B5(8-10cmbsf),T1B5(28-30cmbsf),T1B5(38-40cmbsf),T1B8(2-4cmbsf),T1B8(16-18cmbsf),T1L6T1(0-3cmbsf),T1L6T2(0-3cmbsf),T1B10(0-2cmbsf),T1B10(36-38cmbsf),T1B10(44-46cmbsf),T1B11(0-3cmbsf),T3L11(0-3cmbsf),T3L11(6-9cmbsf),T3L11(12-15cmbsf),T3L11(18-21cmbsf),T3L8(0-3cmbsf),T3L8(6-9cmbsf),T3L8(12-15cmbsf),T3L7(18-21cmbsf),T3L14(0-2cmbsf),T3L14(4-6cmbsf),T3L14(6-8cmbsf),T3L14(12-14cmbsf),T3L14(18-20cmbsf),T1L10(0-3cmbsf),T1L10(6-9cmbsf),T1L10(12-15cmbsf),T1L10(18-21cmbsf)
B19T1B3,0,0.015659807,0.012368505,0,0,0,0.046516623,0.039967354,0.00936615,0,0,0,0,0,0.015830273,0.030293396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B34T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0.002151341,0,0,0,0,0,0,0,0.01807504,0.024335958,0.0116926,0,0,0,0,0,0.050042264,0.01943611,0.034457687,0.028955491,0,0.05230858,0.019373072,0.011281673,0
B105T1L10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04149383,0.06622121,0.032939058,0.015030763,0.069937885,0.053523008,0.030127477,0.019064788,0.03428406,0.046180904,0.079713225,0.10601237,0.03204496,0.06460727,0.11075246,0.15360008,0.10933181
B85T1B8,0,0,0,0,0,0,0,0,0,0,0,0,0.02470929,0.099478535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B67T1B5,0,0,0,0,0,0,0,0,0.013202642,0,0.08260432,0.019666638,0.013098431,0.013269646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2T1B11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2214179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6T3L8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27102795,0,0,0,0.6152244,0,0,0,0,0,0,0,0,0.018300334
B37T1L10,0,0,0,0,0,0,0,0,0,0,0,0,0.008527749,0.005354052,0,0,0,0.014581788,0.021755897,0,0.016060498,0.015063821,0,0,0.023079513,0,0,0,0,0.019397516,0.024704762,0,0,0.051663186,0.051867668,0.02799375,0.020010915
B75T1B5,0,0,0,0,0,0,0.017364293,0.0178855,0.010598399,0.008881121,0,0.059811942,0,0.020586884,0.018422956,0.033279873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10T1B5,0.04654077,0.051008902,0.18085383,0.11108083,0.01510598,0,0.31683397,0.15852219,0.10869105,0.009968157,0,0,0,0,0.14570306,0.30998567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B22D1T1,0.1599398,0.10195397,0.12976122,0.14460883,0.18741369,0,0.02800552,0.018673984,0.0374201,0,0,0,0,0,0.010908446,0.021768508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B102T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003817407,0,0,0,0,0,0,0.06956063,0.072427124,0.072217524,0.010126922,0.044811662,0.033311218,0,0,0.06924803,0.046165325,0.054879043,0.036543444,0,0.04693718,0.03283755,0.03133028,0.014834737
B24T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0.015112899,0.003956533,0,0,0,0,0,0,0.014591975,0.010357078,0,0,0.041906275,0,0,0,0.037487183,0.040037736,0.03930847,0,0,0.020046832,0.01509859,0,0
B93T1L10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010149311,0.03545322,0.19635518
B24T1B5,0,0.017650483,0,0,0.013388731,0.01235238,0,0,0.05445212,0,0.04926275,0.019033905,0.033248916,0.041632257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B98T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014229568,0.025631983,0.034821086,0,0.03916642,0,0.08421847,0,0,0,0,0,0,0.01119428,0,0
B17T1B5,0,0,0,0,0,0,0,0,0,0,0,0.06905805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B77T1L10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008554144,0.02583793,0.090344034,0.02206873,0.023859384,0.06628948,0.091111615,0.023006037,0,0,0.015113874,0.10366773,0.070931226,0.04526348,0.21700685,0.33325532,0.098410085
B28T3L8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021687817,0,0,0,0.14888604,0,0,0,0,0,0,0,0,0
B18T3L8,0,0,0,0,0,0,0,0.026133088,0.009020402,0,0,0.004498621,0.003115024,0.005422134,0.017378459,0,0,0,0,0.027032107,0.016456887,0.02137917,0.020378487,0,0.08191304,0.08491255,0.05679676,0,0,0.025841372,0.035017803,0.051088672,0.047016058,0.04169868,0.056029078,0.028059967,0.025544971
B12D1T2,0,0,0,0,0.015491148,0.06563244,0,0,0,0.008690408,0.02159465,0.032417934,0.015487537,0.03024955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B17T1B8,0,0,0,0,0,0.13341497,0,0,0.06148071,0.06303728,0,0.006869108,0.41869593,0.21657175,0,0,0,0,0,0.01379794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4T1B5,0.024318,0,0.011146754,0.016265366,0.07252283,0,0.017723046,0,0.12196156,0.07217206,0,0.06698297,0,0,0.045706306,0.042251073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7T1B10,0,0,0,0,0,0,0.023777202,0.022331472,0.009662556,0.008758561,0.017547678,0.051517945,0.003197884,0.017125683,0.009604632,0,0,0.12677203,0.16586182,0.027591303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B46T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0.002750888,0,0,0,0,0,0,0,0.043433487,0.067062296,0.028954986,0,0.029849883,0.023676848,0,0,0.025317589,0.014875288,0.020993363,0,0,0.08706285,0.031840436,0.017859403,0
B62T1B5,0,0,0,0,0,0,0,0,0,0,0.67405015,0.005936674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B26T1B5,0,0,0,0,0,0,0,0,0,0.06037,0.060736407,0.037628513,0.046556022,0.044852138,0.009267942,0,0,0,0.011321815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3T1L6,0,0,0.007592155,0.010137807,0,0.010014256,0.06030178,0.057064805,0.026640812,0.026887843,0,0.016899748,0.006061666,0.035284124,0.13522385,0.23726572,0,0,0,0,0.013873559,0,0,0.067219906,0,0,0,0.29064807,0.17558534,0.027243711,0.011780241,0,0,0,0.015555081,0.017510464,0
B58T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036393393,0.036564972,0.025783556,0.011424765,0.022413885,0,0,0,0,0.02422961,0.028636307,0,0,0.027105574,0.037842527,0.033517614,0.01368778
B96T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0.010962605,0,0,0,0,0,0,0,0.035416137,0.028632058,0.014511041,0,0.038107395,0,0,0,0,0.019990012,0.01550052,0,0,0.020696266,0.009409563,0,0
B13D1T2,0,0.016845861,0,0,0.02177536,0.12952732,0,0,0.008434843,0,0,0.004089012,0.025846632,0.023930926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B81T1B5,0,0,0,0,0,0,0,0,0.017771028,0,0.15223613,0.22873001,0.077351965,0.094067715,0,0,0.18507315,0.065464534,0.04953559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5D1T2,0.10125884,0.21239187,0.059252672,0.072655335,0.38159484,0.34266454,0.047124993,0.03132954,0.049764004,0.009447038,0.07189325,0.07116072,0.084396474,0.18976,0.020020327,0.03358805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B61T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0.002458113,0.003768093,0,0,0,0,0,0,0.013045969,0.009399635,0,0,0.026540847,0.02551252,0,0,0.028710647,0.029702256,0.043598033,0.035617206,0,0.01657373,0.012611923,0.010355634,0
B48T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0.002535757,0.00416282,0,0,0,0,0,0,0,0.011390766,0.016497746,0.042367306,0,0.024488555,0,0.036573473,0,0,0,0,0,0,0.009098851,0.00980771,0.015074584
B3D1T1,0.11453986,0.030818198,0.05691961,0.089636266,0.10015467,0.028772615,0,0,0,0,0,0,0.005834978,0.009690808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B28D1T2,0.027782409,0,0,0,0.013977702,0.17209442,0,0,0,0,0,0,0.002383817,0.00674769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B16T3L8,0,0,0,0,0,0,0,0,0,0,0,0,0.002559539,0,0,0,0,0,0,0,0.02174706,0.02157616,0,0,0.049030434,0.068825416,0,0,0.021019638,0.030563135,0.029211838,0.03841663,0,0.022034818,0.03357864,0.02116307,0
