cluster,T3L11(6-9cmbsf),T3L11(12-15cmbsf),T3L11(18-21cmbsf),MAGs,Phylum
cluster57,0.004617,0.004857,0.00499,B102T3L11,Acidobacteriota
cluster58,0.043225,0.009078,0.000137,B83T3L11;B6T3L8,Marinisomatota
cluster59,0.000023,0.000013,0.000017,B71T3L11;B42T1L10,Marinisomatota
cluster60,0,0.000002,0.000002,B4T1B10,Marinisomatota
cluster61,0.000169,0.000709,0.000169,B8T1B3;B58T1B5;B24D1T2,Binatota
cluster62,0.000003,0.000008,0.000009,B9D1T1,Binatota
cluster63,0.000001,0.000001,0.000002,B46T1B5,Binatota
cluster64,0.000013,0.000017,0.000015,B27T3L11;B22T3L8,Planctomycetota
cluster65,0.000199,0.000042,0.000043,B7D1T1;B21D1T2,Nitrospirota
cluster66,0.000034,0.00004,0.000042,B8MC02,Nitrospirota
cluster67,0.000232,0.000015,0.000012,B48T1B8;B18T1B5,Nitrospirota
cluster68,0.000009,0.000015,0.000507,B83T1B8,Nitrospirota
cluster69,0.009395,0.010293,0.010485,B65T3L11;B53T3L14;B25T3L8,Marinisomatota
cluster70,0.038071,0.040799,0.041995,B2T3L8;B2T3L14,Marinisomatota
cluster71,0.000662,0.000784,0.000796,B31T3L11,Marinisomatota
cluster72,0.000093,0.000074,0.000097,B81T1B5;B30T1L10,Marinisomatota
cluster73,0.000038,0.000038,0.000042,B9D1T2,Marinisomatota
cluster74,0.000525,0.000556,0.001442,B5T1B10,Marinisomatota
cluster75,0.004099,0.004544,0.004389,B12T3L11,Marinisomatota
cluster76,0.000011,0.000007,0.000009,B11T1B5,Asgardarchaeota
cluster77,0.000012,0.000008,0.000007,B29T1B8,Bacteroidota
cluster78,0.003789,0.007287,0.001325,B40T1B8;B3T1B11;B32T1B10;B1T1L6;B1T1B3;B18D1T2;B15T1B5,Proteobacteria
cluster79,0.013345,0.01384,0.014706,B10T3L8,Proteobacteria
cluster80,0.000062,0.000056,0.000114,B9T1B5;B7T1B10;B26T1L6;B25T1B8;B15D1T1;B13T1B3,Nitrospinota
cluster81,0.000968,0.000986,0.001068,B36T1B10,Nitrospinota
cluster82,0.001681,0.001672,0.00175,B20T3L14,Nitrospinota
cluster83,0.00001,0.000013,0.000015,B31T1B5,Armatimonadota
cluster84,0.000246,0.00022,0.000274,B44T1L10,Nanoarchaeota
cluster85,0.000008,0.000005,0.000004,B4T1B8,Nanoarchaeota
cluster86,0.000137,0.00011,0.000131,B58T1L10,Iainarchaeota
